0	-10.27
1	-10.24
2	-10.25
3	-10.35
4	-2.3599999999999994
5	-10.15
6	-3.2299999999999995
7	-10.32
8	-10.26
9	-10.27
10	-10.25
11	-10.19
12	-10.33
13	-10.2
14	5.58
15	9.530000000000001
16	-10.24
17	-10.16
18	-10.2
19	-10.24
20	-10.2
21	-10.21
22	-10.26
23	-10.22
24	-10.16
25	-10.16
26	5.07
27	-10.16
28	-10.21
29	-10.23
30	-10.18
31	-10.27
32	-10.22
33	-10.19
34	-10.18
35	-10.25
36	-10.25
37	-10.21
38	-10.2
39	-9.3
40	-10.31
41	-10.41
42	-3.0
43	-0.4499999999999993
44	-10.18
45	8.049999999999997
46	-10.19
47	-10.19
48	-10.16
49	-10.15
50	-3.1999999999999993
51	-10.17
52	-10.19
53	-10.16
54	-10.19
55	-10.29
56	-10.17
57	-0.6999999999999993
58	-10.27
59	-10.21
60	-10.17
61	-10.32
62	-10.18
63	-10.18
64	-10.18
65	-10.18
66	-10.17
67	-10.19
68	-10.17
69	-8.1
70	-10.18
71	-10.25
72	-10.35
73	-10.17
74	-10.19
75	-10.17
76	-10.17
77	-10.19
78	-10.21
79	-10.26
80	-10.21
81	-10.25
82	-10.21
83	-10.22
84	-10.32
85	-10.19
86	-10.18
87	-10.19
88	-10.21
89	-10.21
90	-10.2
91	-10.18
92	-10.18
93	-10.18
94	-10.18
95	-10.18
96	-10.18
97	-10.18
98	-10.18
99	-10.18
